Neighborhoods,r0,r1,Rpl1,Ln(Rpl1),Rpl2,Rpl3,Rpl4,Rpl Overall,Raw Visitor,Ln(Visitors),Raw Visits,Ln(Visits),Tot pop,Sum of Area Sqmi,Pop Dens,Ln(pop dens),Males,Males perc,Females,Female perc,White pop,White perc,Asian pop,Asian perc,Ln(Asian perc+1),Afri Amer perc,Afri Amer pop,Ln(Afri Amer perc+1),Pacific Isl pop,Pacific Isl perc,Log(Pacific Isl perc+1),Other pop,Two or more pop
Elysian Valley,314.62,619.41,0.465455485,-0.764738815,2.495766667,1.985866667,1.605333333,2.3568,53982.93893,10.89642333,101468.8244,11.52750688,10696,1.396366455,7659.880371,8.943751645,4884,0.456619297,5116,0.478309648,3888,0.363500374,1996,0.186611818,0.171102034,0.004581152,49,0.00457069,24,0.002243829,0.002241315,3522,433
Encino,225.8,287.79,0.88863025,-0.118074047,1.327472727,2.080954545,0.542454545,1.814072727,34541,10.4499023,65428,11.08870558,52223,9.774932751,5342.543149,8.583457064,23905,0.457748502,27193,0.520709266,42516,0.814124045,4028,0.077130766,0.074300808,0.000248932,13,0.000248901,19,0.000363824,0.000363758,1439,1482
Exposition Park,389.61,612.24,0.249557138,-1.38806738,3.365728571,2.038171429,1.809042857,2.809785714,11279,9.330697869,23175,10.05082939,34253,1.746899965,19607.8772,9.883686662,16558,0.483402914,17316,0.505532362,6405,0.186990921,1368,0.039938108,0.0391612,0.012903979,442,0.012821432,124,0.003620121,0.003613584,16823,887
Florence-Firestone,908.36,1893.03,0.28066886,-1.270579739,3.545853846,2.162507692,1.907261538,2.580253846,53982.93893,10.89642333,101468.8244,11.52750688,64293,3.648695177,17620.81974,9.776836422,32247,0.501563156,31345,0.487533635,24612,0.382809948,218,0.003390727,0.003384991,0.009316722,599,0.009273589,12,0.000186646,0.000186629,31677,890
Gardena,311.53,455.06,0.449195957,-0.800296057,2.06306,1.957313333,1.497393333,2.656386667,74609,11.22001642,139131,11.84317121,62797,6.737939361,9319.911717,9.139908435,29407,0.468286702,33048,0.526267178,14180,0.225806965,16255,0.258849945,0.230198562,0.003009698,189,0.003005178,591,0.009411278,0.009367268,13867,2406
Glassell Park,442.98,591.7,0.364342063,-1.009662119,2.3460375,1.978825,1.3847625,2.4138375,1426,7.262628601,2500,7.824046011,30490,2.914736507,10460.63681,9.255374616,15381,0.504460479,14763,0.484191538,16235,0.532469662,5706,0.187143326,0.171549855,0.00764185,233,0.007612799,42,0.001377501,0.001376553,6342,1029
Glendale,371.93,477.01,1.653640909,0.502979468,2.030441026,1.969433333,0.966228205,2.398782051,103780,11.55002855,201546,12.21377292,193987,64.49199544,3007.923676,8.009005311,91692,0.472670849,100279,0.516936702,138295,0.712908597,31474,0.162247986,0.150356049,0.002943496,571,0.002939172,114,0.000587668,0.000587495,11485,7018
Glendora,447.07,736.94,1.396450357,0.333933558,1.620353846,2.0568,0.6841,2.2467,69002,11.14189077,128307,11.76218111,50221,18.15385465,2766.409723,7.92530563,26426,0.526194222,27649,0.550546584,38769,0.771967902,5958,0.118635631,0.112109756,0.00330539,166,0.003299939,77,0.001533223,0.001532049,5130,2532
Granada Hills,305.89,580.85,1.143221973,0.133850568,1.39114,1.80768,0.783166667,1.69968,171547,12.05261256,315638,12.66235127,58088,17.1483296,3387.385324,8.127813612,28646,0.493148327,29279,0.504045586,33804,0.581944636,9487,0.163321168,0.15127899,0.004424322,257,0.004414563,97,0.00166988,0.001668487,7957,3489
Green Meadows,437.11,874.22,0.312643488,-1.162691754,3.4387875,2.3703625,1.8203375,2.7737625,35209,10.46905701,73308,11.20242502,40766,2.501147905,16298.91616,9.698853891,18909,0.463842418,20899,0.512657607,12709,0.311754894,99,0.002428494,0.00242555,0.003802188,155,0.003794978,7,0.000171712,0.000171697,14555,468
Hacienda Heights,130.53,275.36,0.966782806,-0.033781415,1.718623077,1.756907692,1.547638462,1.583946154,53982.93893,10.89642333,101468.8244,11.52750688,54766,12.56817647,4357.513607,8.3796569,26927,0.491673666,26961,0.492294489,21538,0.393273199,21503,0.392634116,0.331197001,0.003724939,204,0.003718019,87,0.001588577,0.001587317,8554,1432
Hancock Park,422.56,475.38,0.597754751,-0.514574725,0.7128,1.4061,0.3806,1.5878,5270,8.569785642,10987,9.304468035,11451,1.793264253,6385.561961,8.761794777,5627,0.491398131,6003,0.524233691,8287,0.723692254,2096,0.183040782,0.168088058,0.000873286,10,0.000872905,0,0,0,573,481
Harbor City,196.08,354.32,0.275406556,-1.289506888,2.448414286,1.992585714,1.408757143,2.802385714,22288,10.0118037,44392,10.70081455,25966,1.927845895,13468.91889,9.508140006,12467,0.48012786,13217,0.509011785,10499,0.40433644,4732,0.182238312,0.167409516,0.005661249,147,0.005645284,545,0.020988986,0.020771752,4970,2205
Harbor Gateway,199.54,350.92,0.525358712,-0.643673989,2.9144625,2.176875,1.66645,2.953575,75568,11.23278819,146488,11.89469879,38859,4.202869693,9245.825552,9.131927437,18943,0.487480378,19814,0.509894748,11663,0.300136391,6019,0.154893332,0.144007986,0.00316529,123,0.003160291,97,0.002496204,0.002493094,12639,1872
Harvard Heights,487.94,765.18,0.145437159,-1.928011183,3.149633333,2.034983333,1.853316667,3.4858,15486,9.647691669,33291,10.41304237,21906,0.872622953,25103.62571,10.13076757,10985,0.501460787,11132,0.508171277,4535,0.207020908,4433,0.202364649,0.184290159,0.013786177,302,0.013692012,111,0.005067105,0.00505431,10276,461
Harvard Park,490.31,854.09,0.201247945,-1.603217574,2.5415,2.1042,1.7892,3.1361,53982.93893,10.89642333,101468.8244,11.52750688,3234,0.201247945,16069.72931,9.684692614,1421,0.439393939,1609,0.497526283,1057,0.326839827,0,0,0,0.000309215,1,0.000309167,0,0,0,883,27
Hawaiian Gardens,109.02,504.22,0.284485938,-1.257071454,3.0161,2.4436,1.698,2.6405,53982.93893,10.89642333,101468.8244,11.52750688,10645,0.568971876,18709.18485,9.836769851,5137,0.482573978,5224,0.490746829,4587,0.430906529,912,0.085674025,0.082201015,0.005448567,58,0.005433777,21,0.001972757,0.001970814,4344,150
Hawthorne,453.07,736.84,0.3395603,-1.080103734,2.508672222,2.010694444,1.498055556,2.649916667,43165,10.67278526,72957,11.19762551,89819,6.112085394,14695.3117,9.59528379,43619,0.485632216,45633,0.508055089,29814,0.331934223,6414,0.071410281,0.0689758,0.008160857,733,0.008127737,478,0.005321814,0.005307703,22860,8318
Hermosa Beach,127.1,147.43,0.285156713,-1.25471638,0.50516,1.06318,0.16158,1.39146,53982.93893,10.89642333,101468.8244,11.52750688,19650,1.425783564,13781.89544,9.531111085,9987,0.508244275,9739,0.49562341,17336,0.882239186,927,0.047175573,0.046096609,0.00870229,171,0.008664643,0,0,0,199,831
